Title ID HEX	Title ID DEC	Serial Number	Title Name	Publisher	Region	Rating	Version	Media Type	Init Flags	Entry Point	Cert Timestamp	MD5 Checksum
0x54540014	1414791188	TT-020	Army Men®: Sarge's War™	Take-Two Interactive Software	(1) USA / Canada	(3) T - Teen	0x00000001	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000001) Mount Utility Drive	(0xA8EED4DF) Retail	Thu May 06 05:50:30 2004	43387D40B3E684BAC8F749B6B4D33821
0x44430002	1145241602	DC-002	Arx Fatalis	DreamCatcher Interactive	(5) PAL + USA / Canada	(2) M - Mature	0x00000004	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8EDA70B) Retail	Tue Nov 18 00:04:47 2003	11D4FF3B867FFE1EE7B006638E1BD6E8
0x49470079	1229389945	IG-121	Atari Anthology	Infogrames	(7) PAL + Japan + USA / Canada	(4) E - Everyone	0x00000001	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8F7C26A) Retail	Wed Oct 27 06:42:32 2004	5523E16DAE9829D39BD8F6951F1AE055
0x56550022	1448411170	VU-034	AvP: Extinction	Vivendi Universal Games	(1) USA / Canada	(3) T - Teen	0x00000006	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8E84F43) Retail	Fri Jul 18 06:25:51 2003	2EEE7A14254A18A40A4EE8BB5BFC3474
0x54510105	1414594821	TQ-261	Avatar – The Last Airbender	THQ	(3) Japan + USA / Canada	(3) T - Teen	0x00000001	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000007) 64MB RAM limit + Format Utility Drive + Mount Utility Drive	(0xA8EBA7B2) Retail	Fri Aug 04 04:19:56 2006	9B392229C9AC2E9874D7852BE49F3C21
0x4D530007	1297285127	MS-007	Azurik - Rise of Perathia	Microsoft Game Studios	(1) USA / Canada	(3) T - Teen	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8F26792) Retail	Thu Oct 25 09:25:37 2001	AE67BD444260BE00BE48EE3567997BAA
0x55530001	1431502849	US-001	BATMAN VENGEANCE	Ubisoft	(1) USA / Canada	(3) T - Teen	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8FD4084) Retail	Sat Nov 17 09:11:20 2001	26DEBE4598D5C95B88D3B74C1A12EC4D
0x45410039	1161887801	EA-057	BIONICLE®	Electronic Arts (EA)	(1) USA / Canada	(4) E - Everyone	0x00000002	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8FBF4BC) Retail	Tue Sep 23 06:24:03 2003	0BB94B80532E0603A3A5223CA8B2105F
0x434D004E	1129119822	CM-078	BLIC 2005	Codemasters	(4) PAL	(0) RP - ALL	0x00000001	(0x00000202) Chihiro_MEDIA_BOARD + XBOX DVD	(0x00000007) 64MB RAM limit + Format Utility Drive + Mount Utility Drive	(0xA8FDFA6C) Retail	Fri Jun 24 20:33:13 2005	08BC9AE0670AAB69DDD9659968293BB8
0x48550001	1213530113	HU-001	BLOODY ROAR extreme	Hudson Soft	(1) USA / Canada	(3) T - Teen	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8F1AC2A) Retail	Fri Apr 11 06:00:55 2003	A3A855EF0D25136173231E5A2ED20205
0x4D530065	1297285221	MS-101	BLiNX2	Microsoft Game Studios	(7) PAL + Japan + USA / Canada	(4) E - Everyone	0x00000001	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000007) 64MB RAM limit + Format Utility Drive + Mount Utility Drive	(0xA8D5F671) Retail	Tue Oct 26 06:55:59 2004	3320403E9B7C931085E9F5F975ADDAA9
0x4D530013	1297285139	MS-019	BLiNX: the time sweeper	Microsoft Game Studios	(1) USA / Canada	(4) E - Everyone	0x00000006	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8F36181) Retail	Fri Jul 18 05:43:31 2003	F3DCE4912AD4767A4E4173C27CC6ADF0
